Id,UserNickname,Rating,Title,ReviewText
205260042,Sissy,5,"Excellent Jeans!!","I bought these for my grandson and he loves them!! Highly recommend!!"
204214391,Macysshopper,5,"Great!","Very comfortable and the color and styling look great. Bought same style in 2 colors"
204199709,TrueNaturelover,2,"Favorable aspects and unfavorable","The quality of the fabric is good. Fit is very large in the waist; I downsized two inches. The fit in the legs is nicely tailored, not in the least baggy. The color selection is terrific. But a glaring problem is the oddly short rise. It's downright uncomfortable. There's the distinct, awkward feeling that the pants are about to constantly slip down because the rise is so short. I have never encountered anything like it - and I know it is not a defect because I tried a second pair. I regard it as a major design flaw.  I just cannot imagine how a man can be comfortable with this design.  A teenage girl, maybe.  If not for the peculiar rise, these jeans would be perfect. Regrettably, they're returned."
204183569,RAYF,5,"GREAT FEEL!","These jeans stretch so I purchased the size 33"W which also fit better in the seat and gave me a more tailored look. They are slim, but not tight giving up the comfortable feel."
204178919,Zach,5,"Great look and feel!","I always have to wear all black for work. Always go back to Levi because they last, have a great look and I always dress up going out. So when I’m not working I can always dress them up! Duel purpose! Affordable. Breathable. All around always a great buy! Love them!"
204110762,PracticalShopper,5,"Great Jeans!","I love these jeans on my husband. The fit is great and the material is quality."
203952463,danny,5,"Right fit","Son loves jeans perfect fit for them they like this style"
203795713,None,5,"Great fit","Best fitting jeans for my super skinny son, I just wish the material was a bit thicker."
203755521,DeAndre,4,"Good jeans","Good quality jeans. Fit well. Tight in the beginning but loosens up. I would recommend them."
203754744,colo5,5,"best purchase","nice jeans I will recommend it. Good price. nice customer service.
Thanks."
203384429,Susie,5,"Finally A Pair That Fit","After buying a dozen of pair of jeans for my college son I finally found a pair that fit and he likes. Since he has been a nightmare to shop with or for since the day he was born so when he said he wanted clothes for Christmas I begin to panic. 
He is the type that has to move in all different directions to make sure the jeans will fit and be will be comfortable in all situations. (I pity his wife someday). They also have to be just roomy enough in the thigh then taper down.  The cuff has be to narrow but not too narrow. Plus they have to be a modern and attractive look.
So if these by chance you are buying for or are a person who needs a great quality jean that fits this description then this is the jean for you."
203325153,KholoudJaradat,5,"Levi’s jeans","My son likes it so much and he liked the color too . It fits him exactly and he is happy to have another one"
203316289,macdonga,5,"Great Jeans...and I'm picky.","Very nice fit and stretchable. Can be worn a few times without wash."
203297515,Lennox,5,"Great fit and feel","Purchased for my husband. Great fit and quality, can be casual or dressed up."
203280950,Rose,5,"Perfect Fit","Both them as a gift for my husband, he loved the style and color, fit perfect, look great!"
110333662,Juno,5,"Comfortable and stylish","I bought two pairs for my husband and he loves it."
203056601,Emily,5,"Great","Bought these as a gift for my boyfriend, he loves them!"
203048138,Practical,5,"Always reliable","Perfect fit, comfortable, great quality company. Great selection from levi"
203035639,bdiaz,4,"Can't go wrong with Levi's.","My husband is not a jean person but I finally talked him into wearing it.  These fit him well, the fabric is a little stiff."
202887217,BestJeans,5,"Best jeans yet! Style, comfort and price!","Great fit perfectly! Style, comfort and value all in one!"
202885207,NoniFruit,4,"Nice pair of Jeans","Ordered Levi's511 Slim fit Jeans (Stonewash) online. Received on time. It fits perfectly. Unfortunately not that stretchy material as expected, so feels bit hard on skin. Still would recommend and give it a try."
202851188,Bargainfordeals,5,"Classic Jeans","Brand is really nice and affordable. Go up one size if you do not want the really close slim look/fit."
202834829,1sttimereviewer,5,"Great product","I love these jeans. Great fit and quality. A little pricey for me, but I caught these on sale. I will buy more for sure."
202756264,iReview,5,"Love these slim fit 511’s","I love these levi 511’s. Fits well as well. I’m going to get another one, but different color."
202641833,Luckynlizella,5,"A wonderful product","These look absolutely great on my tall and hard to fit teenager. Well worth the price."
202634670,Will,5,"Levis","Flawless Levi’s in the mail. No problems with these pants but it is difficult to find the black denim version."
202634543,Disappointed,1,"Extremely disappointed in quality of these jeans","These jeans were fine until they were washed and now you can see the defect in the stitiching in the legs, obviously very poorly made.  Now, I will have to take the time to return them as the seam is running part way down the front of the pant leg.  Poor workmanship.  I"
202596929,ragtime,5,"Best fit","The 511 are the best fit for men with no butt. The price was right too."
202575397,Bcook1064,5,"Jeans","My favorite jeans for the everyday wear. These are their favorites"
202573155,beautiful,5,"great pants","love the color great price after I use my gift card happy to have gotten them for my son for christmas"
202559784,Lulu,5,"Great Buy!","Levi's is the only brand of jeans I wear.
The sale price made it even more an outstanding buy."
202559404,Chandlermom,5,"Grey Levis","Bought these for my son and he looks great in them!!"
202555839,levis123,5,"Love them!","Bought these for my boyfriend since his one pair was already old and getting torn up. I was unsure how the color would look but I love it in all honesty! He gained some weight so I was iffy but they even stretched a little! He is 5'9 and they fit just right"
202551483,Lucy,5,"Happy costumer","I have been looking for this kind of pants with no luck! I checked in Macy’s and found them. Very happy!!"
202544930,Reviewer,5,"Best jeans ever","Got this for christmas they fit great and the color is very nice"
202543124,modern,4,"Great fit !!","Great fit and color !! Levi jeans are always great quality and true it."
202542796,DrLindaLou,5,"Great Fit - Nice Denim","These fit great and are light weight denim. Love them!"
202538348,MacysLover1,5,"Best Levi's jeans for guys","These Levi'sfit my Son perfect! They are displayed in Men's dept front and center! 
Easy to find an perfectly priced. A variety of sizes and colors to choose from."
202533961,Macysreview2,5,"Perfect service","These were exactly what I was looking for and I received them in three days with free shipping"
202532093,TrendyMommy,5,"European style","My husband is italian. He’s been buying the 511 since he was very young. It is a slim fit style- opposite to baggy. I like so much better when men wear the clothing that fits just in the right places. This is the jeans every man should wear! My husband has it in all the washes available."
202531845,LisaLisa,4,"Nice Fit","fits my boyfriend perfectly, he loves them. I was skeptical because the were skinny but the look very good on him."
202529524,Great,5,"Awesome","This product was awesome. It was exactly as pictured and described and had an awesome slim fit."
202524855,MerryShopper,4,"Nice color selection","I have purchased several different colors as these are the only jeans my son will wear"
202523254,Jacket,5,"Great brand","Always a fan of Levi jeans, the dark color looks and fits great!"
202522584,Borntowearboots,5,"Always a hit!","Levis are my got to jeans! They always fit well and the color is always on point!"
202521733,DressGoodFeelGood,5,"Best fitting jeans!","Love these Levi's. I own them in 6 different colors sixe 34x30. I'm 5' 7" and weight 175lbs. I'm not physically fit or skinny like any of the models shown in the pics. I'm average build and they fit perfect. The stretch denim offers plenty of comfort making them feel very roomy for a slim fit jean while still offering a clean modern fit. The darker solid and khaki colors pair great with an untucked button shirt and nice shoes/boots for a dressier look. Highly recommend these jeans!"
202518902,QueenK,5,"Good Fit Jeans","It Fits Good A Little Tight On My Fiancé Thighs But I Would Recommend Them To Anyone"
110333665,pldy,5,"Great jeans","My husband loved them. The fit was perfect and he really liked the color."
109143788,mcsl65,5,"Nice jeans!","Bought these for my son for Christmas. They fit nice and look good on him. He likes them."
202031252,Tabs,5,"perfect","they always fit, they are Levi's can not go wrong as long as you know which ones you like the best"
110333664,Dee17,5,"The jeans were perfect fit","My fiancé bought these jeans at the Mass outlet and loved them that's why I ordered and he's pleased with the fit."
